"ibe","2M","4M","6M","MM"
0,0,0,0,0,0
0,1,0,0,0,107
0,0,1,0,0,122
0,0,0,1,0,135
0,0,0,0,1,150
0,2,0,0,0,214
0,1,1,0,0,229
0,1,0,1,0,242
0,0,2,0,0,244
0,0,1,1,0,257
0,1,0,0,1,257
0,0,0,2,0,270
0,0,1,0,1,272
0,0,0,1,1,285
0,0,0,0,2,300
0,3,0,0,0,321
0,2,1,0,0,336
0,2,0,1,0,349
0,1,2,0,0,351
0,1,1,1,0,364
0,2,0,0,1,364
0,0,3,0,0,366
0,1,0,2,0,377
0,0,2,1,0,379
0,1,1,0,1,379
0,0,1,2,0,392
0,1,0,1,1,392
0,0,2,0,1,394
0,0,0,3,0,405
0,0,1,1,1,407
0,1,0,0,2,407
0,0,0,2,1,420
0,0,1,0,2,422
0,4,0,0,0,428
0,0,0,1,2,435
0,3,1,0,0,443
0,0,0,0,3,450
0,3,0,1,0,456
0,2,2,0,0,458
0,2,1,1,0,471
0,3,0,0,1,471
0,1,3,0,0,473
0,2,0,2,0,484
0,1,2,1,0,486
0,2,1,0,1,486
0,0,4,0,0,488
0,1,1,2,0,499
0,2,0,1,1,499
0,0,3,1,0,501
0,1,2,0,1,501
0,1,0,3,0,512
0,0,2,2,0,514
0,1,1,1,1,514
0,2,0,0,2,514
0,0,3,0,1,516
0,0,1,3,0,527
0,1,0,2,1,527
0,0,2,1,1,529
0,1,1,0,2,529
0,5,0,0,0,535
0,0,0,4,0,540
0,0,1,2,1,542
0,1,0,1,2,542
0,0,2,0,2,544
0,4,1,0,0,550
0,0,0,3,1,555
0,0,1,1,2,557
0,1,0,0,3,557
0,4,0,1,0,563
0,3,2,0,0,565
0,0,0,2,2,570
0,0,1,0,3,572
0,3,1,1,0,578
0,4,0,0,1,578
0,2,3,0,0,580
0,0,0,1,3,585
0,3,0,2,0,591
0,2,2,1,0,593
0,3,1,0,1,593
0,1,4,0,0,595
0,0,0,0,4,600
0,2,1,2,0,606
0,3,0,1,1,606
0,1,3,1,0,608
0,2,2,0,1,608
0,0,5,0,0,610
0,2,0,3,0,619
0,1,2,2,0,621
0,2,1,1,1,621
0,3,0,0,2,621
0,0,4,1,0,623
0,1,3,0,1,623
0,1,1,3,0,634
0,2,0,2,1,634
0,0,3,2,0,636
0,1,2,1,1,636
0,2,1,0,2,636
0,0,4,0,1,638
0,6,0,0,0,642
0,1,0,4,0,647
0,0,2,3,0,649
0,1,1,2,1,649
0,2,0,1,2,649
0,0,3,1,1,651
0,1,2,0,2,651
0,5,1,0,0,657
0,0,1,4,0,662
0,1,0,3,1,662
0,0,2,2,1,664
0,1,1,1,2,664
0,2,0,0,3,664
0,0,3,0,2,666
0,5,0,1,0,670
0,4,2,0,0,672
0,0,0,5,0,675
0,0,1,3,1,677
0,1,0,2,2,677
0,0,2,1,2,679
0,1,1,0,3,679
0,4,1,1,0,685
0,5,0,0,1,685
0,3,3,0,0,687
0,0,0,4,1,690
0,0,1,2,2,692
0,1,0,1,3,692
0,0,2,0,3,694
0,4,0,2,0,698
0,3,2,1,0,700
0,4,1,0,1,700
0,2,4,0,0,702
0,0,0,3,2,705
0,0,1,1,3,707
0,1,0,0,4,707
0,3,1,2,0,713
0,4,0,1,1,713
0,2,3,1,0,715
0,3,2,0,1,715
0,1,5,0,0,717
0,0,0,2,3,720
0,0,1,0,4,722
0,3,0,3,0,726
0,2,2,2,0,728
0,3,1,1,1,728
0,4,0,0,2,728
0,1,4,1,0,730
0,2,3,0,1,730
0,0,6,0,0,732
0,0,0,1,4,735
0,2,1,3,0,741
0,3,0,2,1,741
0,1,3,2,0,743
0,2,2,1,1,743
0,3,1,0,2,743
0,0,5,1,0,745
0,1,4,0,1,745
0,7,0,0,0,749
