2m,4m,6m,mm,,,,,,,,,,
0,0,0,0,0,,,,,,,,,
1,0,0,0,142,,,,,,,,,
0,1,0,0,161,,,,,,,,,
0,0,1,0,180,,,,,,,,,
0,0,0,1,200,,,,,,,,,
2,0,0,0,284,,,,,,,,,
1,1,0,0,303,,,,,,,,,
0,2,0,0,322,,,,,,,,,
1,0,1,0,322,,,,,,,,,
0,1,1,0,341,,,,,,,,,
1,0,0,1,342,,,,,,,,,
0,0,2,0,360,,,,,,,,,
0,1,0,1,361,,,,,,,,,
0,0,1,1,380,,,,,,,,,
0,0,0,2,400,,,,,,,,,
3,0,0,0,426,,,,,,,,,
2,1,0,0,445,,,,,,,,,
1,2,0,0,464,,,,,,,,,
2,0,1,0,464,,,,,,,,,
0,3,0,0,483,,,,,,,,,
1,1,1,0,483,,,,,,,,,
2,0,0,1,484,,,,,,,,,
0,2,1,0,502,,,,,,,,,
1,0,2,0,502,,,,,,,,,
1,1,0,1,503,,,,,,,,,
0,1,2,0,521,,,,,,,,,
0,2,0,1,522,,,,,,,,,
1,0,1,1,522,,,,,,,,,
0,0,3,0,540,,,,,,,,,
0,1,1,1,541,,,,,,,,,
1,0,0,2,542,,,,,,,,,
0,0,2,1,560,,,,,,,,,
0,1,0,2,561,,,,,,,,,
4,0,0,0,568,,,,,,,,,
0,0,1,2,580,,,,,,,,,
3,1,0,0,587,,,,,,,,,
0,0,0,3,600,,,,,,,,,
2,2,0,0,606,,,,,,,,,
3,0,1,0,606,,,,,,,,,
1,3,0,0,625,,,,,,,,,
2,1,1,0,625,,,,,,,,,
3,0,0,1,626,,,,,,,,,
0,4,0,0,644,,,,,,,,,
1,2,1,0,644,,,,,,,,,
2,0,2,0,644,,,,,,,,,
2,1,0,1,645,,,,,,,,,
0,3,1,0,663,,,,,,,,,
1,1,2,0,663,,,,,,,,,
1,2,0,1,664,,,,,,,,,
2,0,1,1,664,,,,,,,,,
0,2,2,0,682,,,,,,,,,
1,0,3,0,682,,,,,,,,,
0,3,0,1,683,,,,,,,,,
1,1,1,1,683,,,,,,,,,
2,0,0,2,684,,,,,,,,,
0,1,3,0,701,,,,,,,,,
0,2,1,1,702,,,,,,,,,
1,0,2,1,702,,,,,,,,,
1,1,0,2,703,,,,,,,,,
