"2m","2mp","4m","6m","mm"
0,0,0,0,0,0
1,0,0,0,0,53
0,0,1,0,0,74
0,1,0,0,0,93
0,0,0,1,0,96
2,0,0,0,0,106
1,0,1,0,0,127
0,0,0,0,1,128
1,1,0,0,0,146
0,0,2,0,0,148
1,0,0,1,0,149
3,0,0,0,0,159
0,1,1,0,0,167
0,0,1,1,0,170
2,0,1,0,0,180
1,0,0,0,1,181
0,2,0,0,0,186
0,1,0,1,0,189
0,0,0,2,0,192
2,1,0,0,0,199
1,0,2,0,0,201
0,0,1,0,1,202
2,0,0,1,0,202
4,0,0,0,0,212
1,1,1,0,0,220
0,1,0,0,1,221
0,0,3,0,0,222
1,0,1,1,0,223
0,0,0,1,1,224
3,0,1,0,0,233
2,0,0,0,1,234
1,2,0,0,0,239
0,1,2,0,0,241
1,1,0,1,0,242
0,0,2,1,0,244
1,0,0,2,0,245
3,1,0,0,0,252
2,0,2,0,0,254
1,0,1,0,1,255
3,0,0,1,0,255
0,0,0,0,2,256
0,2,1,0,0,260
0,1,1,1,0,263
5,0,0,0,0,265
0,0,1,2,0,266
2,1,1,0,0,273
1,1,0,0,1,274
1,0,3,0,0,275
0,0,2,0,1,276
2,0,1,1,0,276
1,0,0,1,1,277
0,3,0,0,0,279
0,2,0,1,0,282
0,1,0,2,0,285
4,0,1,0,0,286
3,0,0,0,1,287
0,0,0,3,0,288
2,2,0,0,0,292
1,1,2,0,0,294
0,1,1,0,1,295
2,1,0,1,0,295
0,0,4,0,0,296
1,0,2,1,0,297
0,0,1,1,1,298
2,0,0,2,0,298
4,1,0,0,0,305
3,0,2,0,0,307
2,0,1,0,1,308
4,0,0,1,0,308
1,0,0,0,2,309
1,2,1,0,0,313
0,2,0,0,1,314
0,1,3,0,0,315
1,1,1,1,0,316
0,1,0,1,1,317
0,0,3,1,0,318
6,0,0,0,0,318
1,0,1,2,0,319
0,0,0,2,1,320
3,1,1,0,0,326
2,1,0,0,1,327
2,0,3,0,0,328
1,0,2,0,1,329
3,0,1,1,0,329
0,0,1,0,2,330
2,0,0,1,1,330
1,3,0,0,0,332
0,2,2,0,0,334
1,2,0,1,0,335
0,1,2,1,0,337
1,1,0,2,0,338
5,0,1,0,0,339
0,0,2,2,0,340
4,0,0,0,1,340
1,0,0,3,0,341
3,2,0,0,0,345
2,1,2,0,0,347
1,1,1,0,1,348
3,1,0,1,0,348
0,1,0,0,2,349
1,0,4,0,0,349
0,0,3,0,1,350
2,0,2,1,0,350
1,0,1,1,1,351
3,0,0,2,0,351
0,0,0,1,2,352
0,3,1,0,0,353
0,2,1,1,0,356
5,1,0,0,0,358
0,1,1,2,0,359
4,0,2,0,0,360
3,0,1,0,1,361
5,0,0,1,0,361
0,0,1,3,0,362
2,0,0,0,2,362
2,2,1,0,0,366
1,2,0,0,1,367
1,1,3,0,0,368
0,1,2,0,1,369
2,1,1,1,0,369
0,0,5,0,0,370
1,1,0,1,1,370
1,0,3,1,0,371
7,0,0,0,0,371
0,0,2,1,1,372
0,4,0,0,0,372
2,0,1,2,0,372
1,0,0,2,1,373
0,3,0,1,0,375
0,2,0,2,0,378
4,1,1,0,0,379
3,1,0,0,1,380
0,1,0,3,0,381
3,0,3,0,0,381
2,0,2,0,1,382
4,0,1,1,0,382
1,0,1,0,2,383
3,0,0,1,1,383
0,0,0,0,3,384
0,0,0,4,0,384
2,3,0,0,0,385
